Word,V.Mean.Sum,V.SD.Sum,A.Mean.Sum,A.SD.Sum,D.Mean.Sum,D.SD.Sum
abadejo,3.33,1.62,4.14,1.85,5.52,2.33
abadía,5.85,1.69,2.2,1.7,5,2.02
abalorio,6.05,1.86,3.4,2.41,3.91,2.16
abandonado,3.78,1.75,4.4,2.57,4.22,1.63
abandonado,4.26,1.88,5.9,1.89,3.3,2.05
Abandonar,3.33,2.06,4.7,2.39,3.95,2.46
abandonar,3.58,2.12,3.32,2.11,4.05,2.65
abandono,2.84,1.54,3.73,2.43,3.32,2.5
abandono,2.63,1.74,4.95,2.64,2.64,1.81
abastecedor,6.16,2.12,3.76,1.92,5.74,1.94
abastecer,5.73,1.72,3.45,1.95,5.39,2.52
abastecimiento,5.4,2.01,3.6,2.52,4.88,2.17
abatido,3.81,1.54,4.64,2.34,3.46,1.33
abdomen,5.43,1.75,3.68,2.23,5.15,1.94
abdominal,4.48,1.59,3.5,1.82,5.32,2.11
abedul,6.53,1.35,2.85,1.87,5,2.02
abeja,3.68,1.67,5.65,2.4,5.32,1.63
abejas,5.14,2.24,5.53,2.28,4.2,1.76
abejorro,5.43,1.91,4.38,3.04,4.74,2.01
abertura,4.26,2.26,4.23,2.54,4.22,2.24
abeto,5,2.03,3,1.95,5.5,1.74
abeto azul,5.58,1.92,3.1,2,4.8,2.59
abierta,4.52,1.99,5.84,2.77,4.94,1.98
abierto,6.14,1.58,4.43,2.38,6.17,1.79
abigarrado,4.89,1.94,2.95,2.06,4.52,2.18
abismal,3.45,1.39,3.91,1.98,3.76,1.64
abismo,3.9,1.51,4.85,2.41,4,2.68
ablandar,6.57,1.54,2.96,2.31,6.19,1.9
abogado,5.25,1.48,4.59,2.06,7.26,1.24
abogado,3.67,1.74,4.8,2.82,5.53,2.89
abogado,4.95,1.4,3.18,2.3,4.96,1.79
abogado,3.94,2.21,3.95,2.67,3.56,2.38
abogado,3.32,1.52,4,2.37,4.14,2.01
abolir,3.84,1.54,4.18,2.07,4.65,2.42
abolladura,3.52,1.21,3.46,2.75,4.95,2.27
abominable,4.05,1.23,5.45,2.44,4.62,1.83
abominación,2.5,1.65,5.9,2.59,3.8,1.38
abordar,5.38,1.56,4.43,2.56,5.2,2.59
aborrecimiento,2.42,1.26,4.5,2.19,3.95,2.55
